Label,GPU_util_pct,Memcpy_ovh_pct
3y/1%,20.07,7.93
3y/3%,13.46,23.02
3y/5%,18.59,19.36
3y/6%,16.65,23.81
10y/1%,25.25,7.80
10y/3%,17.59,20.77
10y/5%,26.29,14.40
10y/6%,26.79,14.41
30y/1%,28.56,7.58
30y/3%,33.23,8.48
30y/5%,54.40,3.92
30y/6%,63.59,2.63
