Label,GPU_util_pct,Memcpy_ovh_pct
3y/1%,23.43,2.87
3y/3%,16.95,7.26
3y/5%,24.65,5.40
3y/6%,20.79,6.94
10y/1%,31.64,2.82
10y/3%,23.31,5.82
10y/5%,32.32,4.09
10y/6%,34.01,3.89
30y/1%,33.52,2.67
30y/3%,43.93,2.21
30y/5%,68.93,0.79
30y/6%,73.09,0.68
