Label,Years,Growth,wall_s,kernel_s,memcpy_s,memset_s,other_s,kernel_pct,memcpy_pct,memset_pct,other_pct,gpu_util_pct,memcpy_ovh_pct,achieved_bw_GBs,bw_util_pct,total_launches
3e/1%,3,1,5.011173826,1.807115734,0.088877196,0.000617187,3.114563709,36.0617251914901,1.7735803842778133,0.012316216148755086,62.152378208083334,2.95,4.69,2.54,0.08,14941
3e/3%,3,3,6.760597083,2.017460819,0.23735704,0.001836196,4.503943028,29.841459182252528,3.5108887142061915,0.027160263767489486,66.62049183977379,3.78,10.52,1.08,0.03,45625
3e/6%,3,6,9.105218328,2.08084937,0.469832427,0.003835087,6.550701444,22.853371495783424,5.1600347193783405,0.04211965997791064,71.94447412486032,4.42,18.39,0.67,0.02,93937
10e/1%,10,1,23.811873632,8.009195566,0.312088058,0.002229568,15.48836044,33.63530182369481,1.3106404931554612,0.009363261515900858,65.04469442163384,4.78,3.75,2.64,0.08,51594
10e/3%,10,3,34.640905864,10.37602133,0.894762124,0.007615459,23.362506951,29.953088902282754,2.582963989200603,0.021984006509235782,67.4419631020074,6.49,7.93,1.22,0.04,169215
10e/6%,10,6,52.715305479,11.454266209,1.992827247,0.020143959,39.248068064,21.728539946644137,3.780357960353422,0.03821273312743047,74.452889359875,8.02,14.8,0.8,0.02,388902
30e/1%,30,1,94.529128278,31.583121455,1.085256897,0.008125443,61.852624483,33.410994082286926,1.1480661218078476,0.008595702878063095,65.43234409302715,5.96,3.32,2.88,0.09,171499
30e/3%,30,3,178.964232051,52.688212027,3.893469074,0.045523778,122.337027172,29.440638178463097,2.175557109585152,0.02543736112980774,68.35836735082194,9.71,6.88,1.58,0.05,702188
30e/6%,30,6,491.142684815,180.317040999,12.452799215,0.289734523,298.083110078,36.71377922831539,2.5354748426499785,0.058991924741612516,60.69175400429302,16.22,6.45,1.14,0.03,2332681
