Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
3y/5%,Stage1,6,6628.6732,1104.77887,972.41846,1414.51933,16,51,110,0,0,0,28.1,reg,84.91
3y/5%,Stage3,6,755.8634,125.97723,107.36077,142.53214,16,51,118,0,0,0,26.6,reg,9.68
3y/5%,cuco::insert,3,236.8354,78.94513,76.79423,80.70173,128,16948,36,48,0,0,75.0,shmem,3.03
3y/5%,cuco::init,77482,93.3650,0.00120,0.00109,0.00160,256,1,16,0,0,0,100.0,thr,1.20
3y/5%,Stage2,6,82.5771,13.76285,8.95745,17.61106,16,51,118,0,0,0,26.6,reg,1.06
3y/5%,Stage4,6,7.2981,1.21635,0.96531,1.35911,16,51,107,0,0,0,28.1,reg,0.09
3y/5%,ExtractSizes,12,0.9397,0.07831,0.00298,0.23504,256,51,32,0,0,0,100.0,thr,0.01
3y/5%,cuco::insert_if,3,0.8397,0.27990,0.18698,0.45888,128,25,37,48,0,0,75.0,shmem,0.01
3y/5%,cuco::init,3,0.0092,0.00306,0.00298,0.00320,256,530,24,0,0,0,100.0,thr,0.00
3y/5%,cub::ForEach,3,0.0044,0.00147,0.00131,0.00163,256,6,16,0,0,0,100.0,thr,0.00
3y/6%,Stage1,6,6434.8460,1072.47434,938.05600,1355.89825,16,61,110,0,0,0,28.1,reg,83.82
3y/6%,Stage3,6,781.1380,130.18966,111.24402,164.06369,16,61,118,0,0,0,26.6,reg,10.18
3y/6%,cuco::insert,3,248.0287,82.67623,79.03517,86.83824,128,17278,36,48,0,0,75.0,shmem,3.23
3y/6%,cuco::init,93895,113.1560,0.00121,0.00109,0.00173,256,1,16,0,0,0,100.0,thr,1.47
3y/6%,Stage2,6,90.0743,15.01239,8.62203,19.83721,16,61,118,0,0,0,26.6,reg,1.17
3y/6%,Stage4,6,7.4776,1.24627,1.04989,1.45155,16,61,107,0,0,0,28.1,reg,0.10
3y/6%,ExtractSizes,12,1.3099,0.10915,0.00522,0.37482,256,61,32,0,0,0,100.0,thr,0.02
3y/6%,cuco::insert_if,3,0.4932,0.16442,0.12205,0.22925,128,30,37,48,0,0,75.0,shmem,0.01
3y/6%,cuco::init,3,0.0094,0.00314,0.00310,0.00317,256,540,24,0,0,0,100.0,thr,0.00
3y/6%,cub::ForEach,3,0.0048,0.00160,0.00128,0.00189,256,7,16,0,0,0,100.0,thr,0.00
10y/1%,Stage1,10,10996.3950,1099.63950,859.38630,1388.52399,16,20,110,0,0,0,28.1,reg,83.22
10y/1%,Stage3,10,1216.7438,121.67438,112.76388,131.39978,16,20,118,0,0,0,26.6,reg,9.21
10y/1%,cuco::insert,10,793.9679,79.39679,66.59015,98.73030,128,16231,36,48,0,0,75.0,shmem,6.01
10y/1%,Stage2,10,132.6944,13.26944,8.73090,19.70315,16,20,118,0,0,0,26.6,reg,1.00
10y/1%,cuco::init,51440,62.0205,0.00121,0.00109,0.00170,256,1,16,0,0,0,100.0,thr,0.47
10y/1%,Stage4,10,10.3709,1.03709,0.97280,1.12899,16,20,107,0,0,0,28.1,reg,0.08
10y/1%,ExtractSizes,20,1.0809,0.05405,0.00304,0.13638,256,20,32,0,0,0,100.0,thr,0.01
